property_id,amenity_name,amenity_type,included_in_rent,additional_cost
1,Maid's Room,Premium,False,0
1,Furnished,Luxury,True,1963
1,Balcony,Luxury,False,0
2,Gym,Basic,False,0
2,Terrace,Luxury,False,0
2,Spa,Premium,False,0
2,Modern Kitchen,Luxury,True,0
3,Driver's Room,Luxury,False,0
3,Maid's Room,Luxury,True,2475
3,Pet Friendly,Premium,False,3939
3,Gym,Basic,False,211
3,Terrace,Luxury,True,1434
3,Swimming Pool,Luxury,False,1412
3,24/7 Maintenance,Premium,False,0
4,Children's Playground,Luxury,False,0
4,Gym,Premium,True,4456
4,Tennis Court,Basic,False,2611
5,Parking,Basic,False,3824
5,Tennis Court,Basic,True,3
5,24/7 Maintenance,Premium,True,4468
6,Parking,Luxury,False,0
6,Basketball Court,Luxury,False,389
6,Swimming Pool,Premium,True,0
6,Pet Friendly,Basic,False,0
6,Security,Premium,True,2912
6,Tennis Court,Premium,True,99
6,Terrace,Premium,False,0
7,24/7 Maintenance,Premium,False,3840
7,Maid's Room,Basic,True,0
7,Furnished,Basic,False,3554
7,Security,Premium,False,2461
7,Tennis Court,Premium,False,903
7,Swimming Pool,Premium,False,0
7,Gym,Premium,False,0
8,Pet Friendly,Premium,False,3477
8,Children's Playground,Luxury,True,1698
8,Gym,Basic,True,952
8,Tennis Court,Premium,False,2275
8,Central AC,Luxury,True,0
9,Furnished,Luxury,True,0
9,Built-in Wardrobes,Luxury,True,0
9,Balcony,Luxury,True,0
9,Tennis Court,Luxury,False,4575
10,Pet Friendly,Basic,False,3570
10,Spa,Basic,True,0
10,Built-in Wardrobes,Basic,False,0
10,Balcony,Basic,True,0
11,Walk-in Closet,Basic,False,0
11,Study Room,Premium,False,3539
11,Terrace,Basic,True,548
11,Basketball Court,Luxury,False,0
11,Swimming Pool,Luxury,True,299
11,Gym,Basic,True,2856
11,Parking,Basic,False,0
11,Furnished,Premium,True,0
12,Modern Kitchen,Premium,True,0
12,24/7 Maintenance,Basic,False,3174
12,Gym,Premium,False,0
12,BBQ Area,Basic,True,0
12,Parking,Luxury,False,2288
12,Study Room,Premium,False,1071
12,Maid's Room,Luxury,True,0
12,Swimming Pool,Premium,False,0
13,Tennis Court,Basic,True,2962
13,Driver's Room,Basic,True,473
13,BBQ Area,Premium,False,974
14,Study Room,Basic,False,0
14,Children's Playground,Luxury,False,0
14,Swimming Pool,Basic,True,3262
14,24/7 Maintenance,Premium,False,4376
14,Central AC,Premium,False,0
14,Walk-in Closet,Basic,False,4810
15,Balcony,Luxury,True,0
15,Children's Playground,Luxury,False,3229
15,Basketball Court,Luxury,False,0
15,Study Room,Basic,False,1005
15,Parking,Basic,True,4915
15,Garden,Premium,False,606
15,Built-in Wardrobes,Premium,True,372
16,Tennis Court,Premium,False,0
16,Garden,Luxury,True,4553
16,Balcony,Luxury,False,0
16,Study Room,Premium,False,285
16,Gym,Luxury,False,709
17,24/7 Maintenance,Premium,False,0
17,Modern Kitchen,Premium,False,0
17,Built-in Wardrobes,Luxury,False,0
17,Gym,Basic,True,0
17,BBQ Area,Luxury,False,4627
17,Central AC,Premium,False,0
18,Concierge,Luxury,False,0
18,Balcony,Basic,False,57
18,Children's Playground,Basic,False,0
18,Central AC,Luxury,True,0
18,Parking,Luxury,False,2400
18,Furnished,Basic,False,303
18,Driver's Room,Basic,False,0
18,Study Room,Premium,True,0
19,Modern Kitchen,Premium,False,2563
19,Garden,Basic,True,0
19,Spa,Basic,True,89
19,Maid's Room,Basic,False,2002
19,Central AC,Basic,False,0
20,Study Room,Premium,False,0
20,Walk-in Closet,Luxury,True,0
20,Swimming Pool,Premium,True,0
20,Garden,Luxury,False,781
20,Central AC,Luxury,False,69
20,Pet Friendly,Premium,True,206
20,Driver's Room,Luxury,True,3731
21,Basketball Court,Premium,False,0
21,Study Room,Premium,True,0
21,Parking,Premium,True,3731
21,Central AC,Premium,True,1676
22,Security,Luxury,True,317
22,Central AC,Premium,True,4709
22,Children's Playground,Basic,False,0
22,Balcony,Luxury,True,4230
23,Study Room,Basic,False,0
23,Concierge,Premium,False,2524
23,BBQ Area,Basic,False,2696
23,Central AC,Premium,False,4263
23,Balcony,Luxury,True,3665
23,Children's Playground,Premium,True,832
23,Tennis Court,Basic,False,0
23,Gym,Basic,True,0
24,Central AC,Basic,False,3808
24,Pet Friendly,Premium,True,4272
24,Swimming Pool,Basic,True,0
24,Balcony,Luxury,False,18
25,Children's Playground,Basic,False,2800
25,Central AC,Luxury,False,909
25,Built-in Wardrobes,Premium,False,3074
25,Garden,Basic,True,0
25,Spa,Premium,True,0
25,Study Room,Premium,False,0
25,Swimming Pool,Luxury,False,937
25,Modern Kitchen,Luxury,False,3058
26,Maid's Room,Luxury,True,898
26,Gym,Basic,True,180
26,Security,Luxury,False,2135
26,Swimming Pool,Basic,True,1689
26,Pet Friendly,Basic,True,1636
26,Balcony,Basic,False,0
27,Security,Basic,True,2966
27,Study Room,Premium,True,1823
27,Children's Playground,Premium,False,1135
27,Concierge,Premium,False,0
27,BBQ Area,Basic,True,0
27,Garden,Luxury,True,3060
27,24/7 Maintenance,Premium,False,3196
27,Central AC,Basic,False,0
28,Terrace,Premium,True,4627
28,Study Room,Luxury,False,0
28,Swimming Pool,Basic,True,0
28,Central AC,Basic,False,0
28,Security,Premium,False,0
29,Parking,Basic,False,0
29,Maid's Room,Basic,True,0
29,Gym,Luxury,False,886
29,Furnished,Basic,False,3680
29,BBQ Area,Luxury,False,0
29,Pet Friendly,Premium,False,0
29,Driver's Room,Premium,True,1411
30,Concierge,Basic,False,0
30,Driver's Room,Basic,False,725
30,Central AC,Luxury,False,1138
30,Spa,Basic,True,4897
31,Built-in Wardrobes,Premium,False,1199
31,Furnished,Luxury,True,1429
31,Central AC,Premium,False,1774
31,Swimming Pool,Luxury,True,1031
31,Modern Kitchen,Luxury,True,0
32,Basketball Court,Basic,True,4917
32,Study Room,Premium,True,0
32,Gym,Premium,False,0
32,Furnished,Basic,True,3552
33,Spa,Basic,True,1616
33,Furnished,Luxury,True,1866
33,Balcony,Premium,False,0
33,Built-in Wardrobes,Luxury,True,1964
33,BBQ Area,Premium,False,0
33,Modern Kitchen,Luxury,True,4530
33,Gym,Luxury,False,3880
34,Balcony,Basic,False,1730
34,Children's Playground,Premium,False,0
34,Furnished,Premium,False,907
34,Security,Luxury,True,3584
34,Basketball Court,Luxury,True,475
34,Spa,Luxury,True,0
35,Children's Playground,Premium,True,0
35,Built-in Wardrobes,Premium,True,0
35,Pet Friendly,Basic,False,0
36,Walk-in Closet,Premium,False,4526
36,Gym,Premium,False,0
36,Tennis Court,Basic,False,0
36,Parking,Premium,False,1921
36,Driver's Room,Basic,True,4706
36,Basketball Court,Basic,True,0
37,BBQ Area,Luxury,True,0
37,Security,Luxury,True,0
37,Maid's Room,Premium,True,0
37,Tennis Court,Luxury,False,0
37,Built-in Wardrobes,Premium,True,0
37,Study Room,Basic,True,1296
37,Pet Friendly,Premium,True,157
37,Children's Playground,Premium,True,2183
38,Study Room,Premium,True,4762
38,Furnished,Luxury,False,1331
38,Security,Luxury,False,3301
38,Parking,Premium,True,2224
39,Tennis Court,Basic,False,2104
39,Central AC,Basic,True,0
39,Concierge,Premium,True,0
39,Parking,Premium,True,3336
39,BBQ Area,Basic,True,440
39,Study Room,Premium,False,0
39,Terrace,Premium,False,0
40,Modern Kitchen,Premium,False,0
40,Garden,Luxury,False,0
40,BBQ Area,Basic,True,392
40,Central AC,Luxury,True,4437
41,Security,Premium,False,1962
41,Swimming Pool,Luxury,True,0
41,Children's Playground,Premium,False,3941
41,Basketball Court,Basic,False,569
42,Security,Basic,False,1875
42,Tennis Court,Luxury,False,0
42,Study Room,Premium,False,1566
42,Furnished,Basic,False,2025
42,Pet Friendly,Basic,True,1226
42,Basketball Court,Basic,True,0
43,Terrace,Basic,True,3063
43,Study Room,Luxury,False,1478
43,Maid's Room,Luxury,False,0
43,Gym,Basic,False,0
43,Built-in Wardrobes,Premium,True,1165
44,Balcony,Basic,False,0
44,Concierge,Basic,False,948
44,Modern Kitchen,Luxury,True,0
44,Walk-in Closet,Luxury,False,4860
44,Maid's Room,Premium,True,0
45,Balcony,Premium,True,0
45,Study Room,Premium,False,0
45,Terrace,Premium,True,0
45,BBQ Area,Premium,True,1
45,Walk-in Closet,Luxury,False,123
45,Central AC,Basic,False,0
46,Basketball Court,Premium,True,0
46,Concierge,Premium,True,2814
46,Driver's Room,Basic,True,0
46,Tennis Court,Luxury,False,0
46,Modern Kitchen,Basic,False,0
46,Swimming Pool,Luxury,True,0
47,Swimming Pool,Premium,True,0
47,Maid's Room,Premium,False,679
47,Furnished,Basic,False,0
47,Garden,Basic,False,0
47,Modern Kitchen,Luxury,True,2588
47,Walk-in Closet,Luxury,True,0
48,Basketball Court,Premium,False,4560
48,Balcony,Luxury,True,0
48,Children's Playground,Basic,True,1390
48,Maid's Room,Premium,True,0
48,Gym,Luxury,False,2723
48,Garden,Basic,True,4379
49,Gym,Basic,True,0
49,Basketball Court,Basic,False,0
49,Garden,Premium,False,0
49,Furnished,Premium,True,0
49,Modern Kitchen,Basic,False,1707
49,Balcony,Basic,False,727
50,Tennis Court,Basic,True,146
50,Pet Friendly,Premium,False,0
50,Garden,Premium,True,0
50,Maid's Room,Basic,True,0
51,Security,Basic,True,0
51,Terrace,Luxury,False,0
51,BBQ Area,Luxury,True,3611
51,Maid's Room,Premium,True,0
51,Study Room,Basic,False,0
51,Modern Kitchen,Premium,True,0
51,Central AC,Basic,True,0
52,Terrace,Premium,False,0
52,BBQ Area,Premium,False,397
52,Modern Kitchen,Premium,False,0
52,Built-in Wardrobes,Basic,True,0
52,Central AC,Basic,True,2112
52,Gym,Luxury,False,58
52,Children's Playground,Premium,True,0
52,Parking,Basic,False,2325
53,Walk-in Closet,Premium,True,1887
53,Study Room,Basic,False,0
53,Modern Kitchen,Premium,True,0
53,Driver's Room,Basic,True,0
53,Pet Friendly,Basic,True,0
53,Security,Basic,True,0
53,Concierge,Luxury,True,2103
53,Swimming Pool,Premium,False,4145
54,Garden,Luxury,False,1011
54,Modern Kitchen,Luxury,False,2
54,Pet Friendly,Basic,False,0
54,Basketball Court,Luxury,False,3923
55,Furnished,Premium,False,0
55,Spa,Premium,False,1915
55,Swimming Pool,Luxury,False,0
55,Built-in Wardrobes,Premium,True,4677
55,Basketball Court,Basic,False,3836
56,24/7 Maintenance,Basic,True,0
56,Garden,Basic,False,4674
56,Driver's Room,Premium,True,0
56,Spa,Premium,True,4660
56,Tennis Court,Luxury,True,0
57,Central AC,Basic,True,3501
57,Garden,Luxury,True,2752
57,Gym,Premium,True,651
57,24/7 Maintenance,Luxury,True,3390
57,Security,Basic,True,0
57,Study Room,Luxury,True,4241
58,Garden,Luxury,True,0
58,Furnished,Premium,True,0
58,Balcony,Basic,True,1829
58,Built-in Wardrobes,Premium,False,4074
58,Modern Kitchen,Premium,True,1146
58,BBQ Area,Basic,True,0
59,Spa,Luxury,True,0
59,Parking,Premium,True,206
59,Tennis Court,Basic,False,0
59,Gym,Luxury,True,1148
59,Walk-in Closet,Basic,True,0
59,Maid's Room,Basic,True,4985
60,Central AC,Luxury,True,0
60,Children's Playground,Basic,False,2494
60,Spa,Basic,True,374
60,Garden,Luxury,False,1087
60,Gym,Basic,True,4331
60,Study Room,Luxury,False,1325
60,Walk-in Closet,Luxury,True,0
60,Security,Premium,True,1519
61,24/7 Maintenance,Basic,True,0
61,Modern Kitchen,Basic,False,1833
61,Concierge,Premium,False,3558
61,Walk-in Closet,Luxury,False,3768
61,Swimming Pool,Basic,False,0
61,Security,Basic,True,1199
61,Terrace,Basic,True,1635
62,Driver's Room,Luxury,True,1597
62,BBQ Area,Premium,False,3297
62,Gym,Basic,False,464
62,Balcony,Basic,True,4797
62,Swimming Pool,Basic,False,248
62,Built-in Wardrobes,Luxury,False,0
63,Central AC,Luxury,True,0
63,Furnished,Premium,False,1264
63,Pet Friendly,Premium,True,0
63,Tennis Court,Luxury,False,3737
63,Spa,Premium,True,3921
63,Parking,Luxury,False,0
64,Terrace,Basic,False,3216
64,24/7 Maintenance,Premium,True,0
64,Spa,Luxury,False,0
65,Garden,Premium,False,644
65,Modern Kitchen,Premium,True,0
65,Driver's Room,Basic,True,4423
65,Parking,Luxury,False,2334
65,Spa,Luxury,False,686
65,Children's Playground,Basic,False,44
65,Terrace,Luxury,True,3737
65,Walk-in Closet,Basic,False,0
66,24/7 Maintenance,Premium,False,2642
66,Children's Playground,Basic,False,4327
66,Garden,Premium,True,1362
66,Pet Friendly,Premium,True,2785
66,Parking,Luxury,True,0
66,Spa,Luxury,False,1136
66,Tennis Court,Premium,True,0
67,BBQ Area,Premium,False,0
67,Children's Playground,Luxury,True,1812
67,Gym,Premium,False,0
67,Basketball Court,Luxury,True,0
67,Security,Luxury,True,2297
68,Pet Friendly,Basic,False,1555
68,Modern Kitchen,Basic,False,4126
68,Built-in Wardrobes,Luxury,False,2857
68,Gym,Luxury,False,553
69,Tennis Court,Premium,True,0
69,Maid's Room,Premium,True,2711
69,Driver's Room,Luxury,False,0
69,Swimming Pool,Luxury,False,0
69,Furnished,Basic,True,4512
69,Walk-in Closet,Luxury,True,4849
69,Concierge,Basic,True,1831
70,Garden,Premium,False,2980
70,Furnished,Luxury,True,0
70,Modern Kitchen,Basic,False,0
70,Driver's Room,Premium,False,4359
70,Built-in Wardrobes,Basic,False,2940
70,Maid's Room,Luxury,True,3150
70,Pet Friendly,Luxury,True,0
70,Gym,Basic,True,747
71,Walk-in Closet,Premium,False,199
71,BBQ Area,Basic,False,3150
71,Garden,Luxury,False,3881
71,Modern Kitchen,Luxury,True,2985
72,Garden,Luxury,False,676
72,Driver's Room,Basic,False,0
72,Children's Playground,Basic,True,0
72,Terrace,Basic,True,2954
72,Modern Kitchen,Basic,False,0
73,BBQ Area,Basic,False,0
73,Gym,Basic,True,0
73,Study Room,Luxury,False,3166
73,Driver's Room,Basic,True,0
73,Basketball Court,Luxury,True,2326
73,Walk-in Closet,Basic,True,787
74,24/7 Maintenance,Basic,True,0
74,Central AC,Premium,True,3052
74,Security,Luxury,False,746
74,Built-in Wardrobes,Basic,True,0
74,Garden,Premium,False,1765
74,Swimming Pool,Basic,True,0
74,Spa,Premium,True,0
74,Maid's Room,Basic,True,0
75,Furnished,Basic,True,1241
75,Built-in Wardrobes,Luxury,False,996
75,Tennis Court,Premium,False,3353
75,Concierge,Premium,False,2829
75,Parking,Premium,False,0
75,24/7 Maintenance,Premium,True,3321
75,Spa,Luxury,False,1691
76,Garden,Luxury,True,4918
76,Study Room,Luxury,False,742
76,Gym,Luxury,False,923
76,Concierge,Premium,False,4325
76,Central AC,Basic,False,4055
76,Maid's Room,Luxury,False,0
76,Pet Friendly,Premium,True,0
76,Furnished,Basic,True,0
77,Swimming Pool,Basic,False,0
77,Spa,Basic,False,0
77,Garden,Basic,False,0
77,Modern Kitchen,Premium,True,0
77,Built-in Wardrobes,Premium,True,0
77,Tennis Court,Premium,True,0
77,Terrace,Premium,False,3250
77,Children's Playground,Luxury,True,0
78,Walk-in Closet,Premium,False,0
78,Garden,Luxury,False,0
78,Built-in Wardrobes,Basic,True,0
78,Terrace,Basic,False,4985
78,Gym,Basic,True,0
79,Terrace,Premium,True,0
79,BBQ Area,Luxury,False,3744
79,Maid's Room,Premium,True,987
79,Built-in Wardrobes,Basic,False,1390
79,Security,Premium,False,1883
79,Gym,Luxury,True,71
79,Central AC,Premium,True,2795
80,Gym,Luxury,True,3907
80,Walk-in Closet,Premium,True,1366
80,BBQ Area,Premium,False,4465
81,Garden,Premium,False,0
81,Built-in Wardrobes,Luxury,True,0
81,Parking,Premium,False,4217
81,Security,Premium,True,2233
81,Terrace,Basic,False,0
81,Balcony,Basic,True,0
81,24/7 Maintenance,Basic,False,4529
82,Children's Playground,Basic,False,4992
82,Garden,Luxury,True,4757
82,Tennis Court,Luxury,True,0
83,Parking,Basic,True,801
83,24/7 Maintenance,Premium,True,3271
83,Swimming Pool,Premium,False,1862
83,Study Room,Premium,False,0
83,Concierge,Luxury,True,2195
84,Terrace,Premium,True,811
84,Modern Kitchen,Premium,False,3457
84,Basketball Court,Premium,True,0
84,Pet Friendly,Luxury,True,0
84,Furnished,Premium,True,2058
84,Children's Playground,Basic,True,60
84,BBQ Area,Basic,True,0
84,Security,Luxury,True,0
85,Basketball Court,Premium,False,0
85,Maid's Room,Premium,False,1938
85,Swimming Pool,Basic,False,1019
85,Security,Luxury,False,1013
86,Children's Playground,Premium,True,0
86,Terrace,Premium,True,2993
86,Built-in Wardrobes,Basic,True,4806
86,Modern Kitchen,Luxury,True,0
86,24/7 Maintenance,Premium,True,0
86,Central AC,Luxury,True,0
86,Furnished,Basic,False,0
86,Gym,Basic,True,3342
87,24/7 Maintenance,Premium,False,2688
87,Children's Playground,Premium,True,0
87,Furnished,Luxury,False,174
88,Basketball Court,Basic,False,0
88,BBQ Area,Premium,True,2935
88,Pet Friendly,Luxury,True,0
88,24/7 Maintenance,Luxury,False,463
88,Terrace,Basic,True,3692
88,Swimming Pool,Premium,True,0
89,BBQ Area,Luxury,True,0
89,Swimming Pool,Luxury,True,0
89,Study Room,Luxury,True,0
89,Terrace,Luxury,False,3544
89,Modern Kitchen,Premium,False,4432
89,24/7 Maintenance,Luxury,True,1424
90,Swimming Pool,Basic,True,3483
90,Security,Basic,False,0
90,Furnished,Basic,True,4778
90,Tennis Court,Basic,True,1953
90,BBQ Area,Basic,False,0
91,Study Room,Basic,False,0
91,Central AC,Luxury,True,4168
91,Maid's Room,Luxury,True,0
91,Swimming Pool,Premium,False,0
91,Security,Luxury,False,4686
92,Maid's Room,Basic,False,0
92,Furnished,Premium,False,1153
92,Walk-in Closet,Basic,True,0
92,Security,Premium,False,797
92,Gym,Basic,True,0
93,Tennis Court,Basic,True,491
93,Gym,Basic,False,164
93,Walk-in Closet,Luxury,False,0
93,Basketball Court,Luxury,False,0
93,Central AC,Premium,False,95
93,24/7 Maintenance,Premium,False,0
93,Terrace,Premium,True,1740
94,Driver's Room,Luxury,True,2466
94,Built-in Wardrobes,Premium,True,0
94,Concierge,Basic,True,0
95,Gym,Basic,False,0
95,Central AC,Premium,False,0
95,Walk-in Closet,Luxury,False,2133
96,Garden,Luxury,False,17
96,Tennis Court,Luxury,False,0
96,Built-in Wardrobes,Basic,False,3132
96,Pet Friendly,Premium,True,0
97,Walk-in Closet,Luxury,True,0
97,Children's Playground,Luxury,False,0
97,Basketball Court,Luxury,True,0
97,24/7 Maintenance,Luxury,True,4732
98,Gym,Basic,False,1279
98,Furnished,Premium,False,1050
98,Concierge,Luxury,True,222
98,Children's Playground,Premium,False,3980
98,Security,Luxury,False,0
98,Garden,Luxury,True,1422
99,Tennis Court,Luxury,False,1667
99,Driver's Room,Basic,False,0
99,Modern Kitchen,Basic,True,3542
100,Terrace,Premium,False,4473
100,Balcony,Premium,False,4007
100,Furnished,Luxury,True,0
100,Study Room,Luxury,True,3887
100,BBQ Area,Premium,False,2421
100,24/7 Maintenance,Basic,True,0
100,Walk-in Closet,Luxury,False,2555
101,Basketball Court,Basic,False,0
101,Gym,Basic,False,0
101,BBQ Area,Basic,True,0
101,Concierge,Basic,True,96
101,Tennis Court,Premium,True,0
101,24/7 Maintenance,Premium,True,316
102,Walk-in Closet,Luxury,False,0
102,Furnished,Luxury,True,0
102,Balcony,Basic,True,2856
102,Garden,Luxury,False,0
103,Tennis Court,Luxury,True,4713
103,Security,Premium,True,1508
103,24/7 Maintenance,Basic,True,4698
103,Gym,Basic,True,0
103,Central AC,Basic,True,0
103,Swimming Pool,Basic,False,4187
104,Balcony,Basic,False,613
104,Garden,Luxury,False,4052
104,Driver's Room,Premium,True,0
104,Gym,Premium,True,2511
104,Parking,Luxury,True,4725
105,Children's Playground,Basic,True,2582
105,Security,Basic,True,1674
105,Walk-in Closet,Premium,False,2124
105,Tennis Court,Premium,True,3720
105,Terrace,Luxury,True,0
106,Gym,Luxury,True,1237
106,Modern Kitchen,Basic,False,0
106,Maid's Room,Luxury,False,0
107,Pet Friendly,Luxury,False,0
107,Furnished,Premium,True,0
107,Maid's Room,Luxury,False,0
107,Spa,Premium,True,4662
107,Parking,Basic,False,2603
107,Tennis Court,Luxury,False,0
107,Central AC,Basic,False,0
108,Driver's Room,Premium,True,0
108,Tennis Court,Premium,True,0
108,Pet Friendly,Luxury,False,1433
108,Concierge,Luxury,True,2316
109,Terrace,Luxury,False,0
109,Central AC,Luxury,True,3677
109,Swimming Pool,Premium,True,0
109,Parking,Luxury,True,0
109,Pet Friendly,Basic,False,0
109,Children's Playground,Luxury,False,0
109,Garden,Luxury,False,0
109,Tennis Court,Luxury,False,3933
110,Pet Friendly,Luxury,False,0
110,Modern Kitchen,Basic,False,0
110,Central AC,Premium,False,881
110,Children's Playground,Premium,False,91
110,Driver's Room,Premium,True,0
111,Gym,Luxury,True,0
111,Maid's Room,Basic,False,0
111,Security,Premium,True,0
112,Terrace,Premium,False,0
112,Children's Playground,Premium,False,0
112,Central AC,Luxury,False,0
112,Study Room,Premium,True,4277
112,Garden,Basic,False,0
112,Basketball Court,Luxury,True,700
112,BBQ Area,Basic,False,4131
113,Central AC,Basic,False,0
113,24/7 Maintenance,Basic,True,381
113,Gym,Premium,True,0
113,Maid's Room,Luxury,False,3083
114,Terrace,Luxury,False,383
114,Children's Playground,Basic,False,0
114,Built-in Wardrobes,Luxury,True,1078
114,Modern Kitchen,Luxury,False,990
115,Driver's Room,Premium,True,0
115,Tennis Court,Basic,False,0
115,BBQ Area,Premium,True,0
115,Maid's Room,Luxury,True,2268
116,Security,Premium,False,0
116,Central AC,Basic,False,0
116,24/7 Maintenance,Basic,True,2195
116,Built-in Wardrobes,Luxury,True,0
116,Walk-in Closet,Basic,True,1795
116,Modern Kitchen,Basic,True,2011
116,Maid's Room,Basic,False,0
116,Driver's Room,Basic,False,4805
117,Driver's Room,Luxury,False,0
117,Furnished,Basic,True,0
117,Garden,Premium,False,0
117,Balcony,Premium,True,0
117,BBQ Area,Basic,False,0
117,Central AC,Premium,False,0
118,Balcony,Premium,True,3192
118,Built-in Wardrobes,Luxury,False,0
118,Swimming Pool,Premium,False,0
118,Walk-in Closet,Basic,True,1820
118,Maid's Room,Premium,False,1964
118,Security,Basic,False,0
118,Children's Playground,Premium,True,0
119,Balcony,Luxury,True,3568
119,Modern Kitchen,Luxury,True,0
119,Maid's Room,Basic,False,2848
119,Pet Friendly,Luxury,False,2025
119,Furnished,Basic,False,0
119,Spa,Premium,False,2521
119,Basketball Court,Luxury,True,1290
119,Study Room,Premium,True,200
120,Garden,Basic,False,2220
120,Gym,Premium,True,3229
120,Maid's Room,Luxury,False,3761
121,Concierge,Premium,False,19
121,Study Room,Premium,False,3192
121,Spa,Premium,False,0
122,Modern Kitchen,Basic,True,0
122,Driver's Room,Premium,False,0
122,Garden,Premium,True,0
122,Gym,Luxury,True,0
122,Balcony,Premium,False,287
122,Parking,Luxury,True,0
123,24/7 Maintenance,Premium,False,0
123,Security,Basic,False,1240
123,Driver's Room,Basic,False,0
123,Balcony,Premium,False,4959
123,Gym,Luxury,False,0
123,Modern Kitchen,Luxury,False,0
124,Terrace,Luxury,False,4063
124,Study Room,Premium,True,4620
124,Furnished,Basic,False,705
124,Spa,Premium,True,829
124,Swimming Pool,Basic,True,0
124,24/7 Maintenance,Luxury,True,0
124,BBQ Area,Premium,False,1569
124,Central AC,Basic,True,4589
125,Spa,Premium,False,1016
125,Walk-in Closet,Basic,False,0
125,Gym,Luxury,True,3650
125,Balcony,Luxury,False,2857
126,Driver's Room,Luxury,True,1076
126,Built-in Wardrobes,Luxury,True,0
126,Pet Friendly,Luxury,False,4436
126,Gym,Premium,False,1380
126,Central AC,Luxury,False,0
126,Parking,Premium,True,0
126,Basketball Court,Luxury,False,2777
126,Security,Premium,True,2150
